                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.91798,                0.38644,                 1.2382,                 0.9801,                0.97917,                0.99219,                0.76706,                0.86868,                0.32183,                  1.354,              0.0011882,              0.0011882,              0.0011882
                     85,                0.90568,                0.38211,                  1.237,                0.98328,                0.98264,                0.99423,                0.76179,                0.87599,                0.32195,                 1.3582,              0.0011783,              0.0011783,              0.0011783
                     86,                0.89087,                0.38212,                 1.2214,                0.98023,                0.97559,                0.99204,                 0.7713,                 0.8445,                0.32026,                 1.3283,              0.0011684,              0.0011684,              0.0011684
                     87,                0.89585,                0.38292,                 1.2304,                0.97917,                0.99769,                0.99436,                0.77209,                0.83459,                0.30533,                  1.336,              0.0011585,              0.0011585,              0.0011585
                     88,                0.91389,                0.39334,                 1.2345,                0.97063,                0.99463,                0.99429,                0.76963,                0.83968,                0.30563,                 1.3346,              0.0011486,              0.0011486,              0.0011486
                     89,                0.90224,                0.38629,                 1.2283,                0.98273,                0.98843,                0.99385,                0.77822,                0.82981,                0.30559,                 1.3202,              0.0011387,              0.0011387,              0.0011387
                     90,                0.90994,                0.39048,                 1.2416,                0.97709,                 0.9873,                 0.9938,                0.76764,                0.86502,                0.31401,                 1.3636,              0.0011288,              0.0011288,              0.0011288
                     91,                0.89252,                0.38428,                 1.2344,                0.97272,                0.96991,                0.98935,                0.75207,                0.89117,                 0.3276,                 1.3759,              0.0011189,              0.0011189,              0.0011189
                     92,                0.91862,                0.38651,                 1.2397,                0.97153,                0.98744,                0.99354,                  0.761,                 0.8492,                0.30714,                 1.3356,               0.001109,               0.001109,               0.001109
                     93,                0.89839,                0.37892,                 1.2273,                0.98191,                0.98495,                0.99426,                0.77027,                0.85029,                 0.3042,                 1.3393,              0.0010991,              0.0010991,              0.0010991
                     94,                0.90197,                0.38172,                 1.2373,                0.97813,                0.98366,                0.99348,                0.77847,                0.83413,                 0.3139,                 1.3213,              0.0010892,              0.0010892,              0.0010892
                     95,                0.88465,                0.37617,                 1.2169,                0.98406,                0.97338,                0.99385,                0.76801,                0.83723,                0.30994,                 1.3227,              0.0010793,              0.0010793,              0.0010793
                     96,                0.89868,                 0.3813,                 1.2223,                0.97697,                0.98178,                0.99363,                0.77144,                0.86434,                0.31381,                 1.3542,              0.0010694,              0.0010694,              0.0010694
                     97,                0.88112,                0.37479,                 1.2128,                0.98026,                 0.9838,                0.99337,                0.76659,                0.85736,                0.30658,                 1.3554,              0.0010595,              0.0010595,              0.0010595
                     98,                0.89592,                0.37887,                 1.2227,                0.97917,                0.97955,                0.99348,                0.77161,                0.85477,                0.31492,                 1.3466,              0.0010496,              0.0010496,              0.0010496
                     99,                0.88847,                0.38131,                  1.226,                0.96682,                0.97818,                0.99292,                0.77124,                0.85121,                0.30835,                 1.3412,              0.0010397,              0.0010397,              0.0010397
                    100,                0.90037,                0.38136,                 1.2381,                0.97356,                0.98031,                0.99326,                0.77231,                0.84506,                0.31095,                  1.329,              0.0010298,              0.0010298,              0.0010298
                    101,                0.90081,                0.38068,                 1.2239,                0.97823,                0.96528,                 0.9904,                0.77151,                0.85237,                0.32172,                 1.3339,              0.0010199,              0.0010199,              0.0010199
                    102,                 0.8819,                0.37662,                 1.2204,                0.98021,                 0.9748,                0.99001,                0.77162,                0.85133,                0.32113,                 1.3377,                0.00101,                0.00101,                0.00101
                    103,                0.89258,                0.37519,                 1.2157,                0.98485,                0.99306,                0.99424,                0.77352,                0.83203,                0.30001,                 1.3219,              0.0010001,              0.0010001,              0.0010001
                    104,                 0.8989,                0.37434,                 1.2172,                0.97607,                0.99121,                0.99397,                0.77484,                0.84115,                0.30086,                  1.326,              0.0009902,              0.0009902,              0.0009902
                    105,                0.90189,                0.37348,                 1.2266,                0.98503,                0.98999,                0.99423,                 0.7733,                0.86753,                0.30223,                 1.3521,              0.0009803,              0.0009803,              0.0009803
                    106,                0.87099,                0.36542,                 1.2197,                0.98249,                0.97402,                0.99295,                0.77718,                0.84044,                0.30717,                 1.3259,              0.0009704,              0.0009704,              0.0009704
                    107,                0.87322,                0.36694,                  1.221,                0.98712,                0.97574,                0.99369,                0.77967,                 0.8392,                0.30419,                 1.3249,              0.0009605,              0.0009605,              0.0009605
                    108,                0.88953,                0.37253,                 1.2176,                0.98588,                0.98032,                0.99396,                0.77842,                0.82682,                0.29958,                 1.3128,              0.0009506,              0.0009506,              0.0009506
                    109,                0.87959,                0.37118,                 1.2211,                0.98475,                 0.9713,                0.99033,                0.77476,                0.82943,                0.31265,                 1.3132,              0.0009407,              0.0009407,              0.0009407
                    110,                0.88549,                0.37511,                 1.2158,                0.97785,                0.97068,                0.98868,                0.77706,                0.84165,                 0.3138,                 1.3253,              0.0009308,              0.0009308,              0.0009308
                    111,                 0.8791,                0.37084,                 1.2201,                0.98719,                0.98116,                0.99388,                0.77122,                0.85286,                0.30749,                 1.3274,              0.0009209,              0.0009209,              0.0009209
                    112,                0.86749,                0.36157,                 1.2132,                0.98576,                0.97801,                0.99276,                 0.7625,                0.90635,                0.32322,                 1.4065,               0.000911,               0.000911,               0.000911
                    113,                0.88415,                0.37133,                 1.2238,                0.97965,                0.98148,                0.99384,                0.76133,                 0.8878,                0.31161,                 1.3941,              0.0009011,              0.0009011,              0.0009011
                    114,                0.88111,                0.36908,                 1.2201,                0.98876,                0.97801,                 0.9941,                0.77332,                0.84567,                0.29986,                 1.3414,              0.0008912,              0.0008912,              0.0008912
                    115,                 0.8654,                 0.3625,                 1.2095,                0.97505,                0.98264,                0.99334,                0.77288,                0.83964,                0.30424,                 1.3361,              0.0008813,              0.0008813,              0.0008813
                    116,                0.86327,                 0.3619,                 1.2076,                0.97689,                0.97833,                0.99241,                0.77512,                0.83651,                0.31192,                 1.3295,              0.0008714,              0.0008714,              0.0008714
                    117,                0.85893,                0.36171,                 1.2093,                0.97991,                 0.9838,                0.99342,                0.77246,                0.83909,                0.30611,                 1.3278,              0.0008615,              0.0008615,              0.0008615
                    118,                0.85827,                0.36801,                 1.2021,                0.97923,                0.97917,                0.99092,                0.76668,                0.85709,                0.31088,                 1.3545,              0.0008516,              0.0008516,              0.0008516
                    119,                0.86629,                  0.366,                  1.213,                0.97781,                0.96918,                0.99088,                0.76693,                 0.8558,                0.32668,                 1.3434,              0.0008417,              0.0008417,              0.0008417
                    120,                0.87006,                0.35885,                  1.211,                0.98238,                0.97917,                0.99294,                0.77203,                 0.8436,                0.30468,                 1.3307,              0.0008318,              0.0008318,              0.0008318
                    121,                 0.8629,                0.36216,                 1.2057,                0.98481,                0.97568,                0.99169,                 0.7666,                0.84051,                0.31043,                 1.3316,              0.0008219,              0.0008219,              0.0008219
                    122,                0.86787,                0.35939,                  1.219,                0.98612,                 0.9868,                0.99392,                0.77189,                0.84665,                0.30622,                 1.3389,               0.000812,               0.000812,               0.000812
                    123,                 0.8434,                0.36067,                 1.2018,                 0.9803,                0.97886,                0.99009,                0.76743,                0.86424,                0.30869,                 1.3641,              0.0008021,              0.0008021,              0.0008021
                    124,                  0.881,                0.36417,                 1.2171,                0.97833,                0.97917,                0.99299,                0.74993,                0.84318,                0.31043,                 1.3395,              0.0007922,              0.0007922,              0.0007922
                    125,                 0.8719,                0.36178,                 1.2151,                0.97882,                0.96294,                0.98963,                0.76881,                0.84401,                0.31334,                 1.3447,              0.0007823,              0.0007823,              0.0007823
                    126,                  0.864,                0.35798,                 1.2061,                0.97908,                0.97497,                0.99194,                0.77449,                0.83224,                0.30742,                 1.3295,              0.0007724,              0.0007724,              0.0007724
                    127,                0.85336,                0.35464,                  1.205,                0.98264,                0.98274,                0.99364,                0.76985,                0.84958,                0.29661,                  1.357,              0.0007625,              0.0007625,              0.0007625
                    128,                0.85403,                 0.3475,                 1.2006,                0.98141,                0.97771,                0.99363,                0.77071,                0.84976,                0.30123,                   1.35,              0.0007526,              0.0007526,              0.0007526
                    129,                0.85456,                 0.3554,                 1.2037,                0.98262,                0.98132,                0.99405,                0.77537,                0.84947,                 0.2983,                 1.3459,              0.0007427,              0.0007427,              0.0007427
                    130,                0.84788,                 0.3576,                 1.2049,                0.97983,                0.98495,                 0.9938,                0.77244,                0.86018,                0.29922,                 1.3564,              0.0007328,              0.0007328,              0.0007328
                    131,                0.83621,                0.35086,                 1.1914,                0.98605,                0.98159,                0.99417,                0.77827,                0.82912,                0.29035,                 1.3194,              0.0007229,              0.0007229,              0.0007229
                    132,                 0.8514,                0.35371,                 1.2067,                0.98409,                0.98264,                 0.9942,                0.77594,                0.85126,                0.29801,                 1.3472,               0.000713,               0.000713,               0.000713
                    133,                0.85212,                0.35332,                  1.203,                 0.9872,                0.98215,                0.99394,                0.77481,                0.84959,                0.30302,                 1.3376,              0.0007031,              0.0007031,              0.0007031
                    134,                0.82788,                0.34531,                 1.1877,                0.98146,                0.98053,                0.99319,                0.77194,                 0.8535,                0.30047,                 1.3491,              0.0006932,              0.0006932,              0.0006932
                    135,                0.83881,                 0.3492,                 1.1987,                0.98256,                0.97798,                0.99206,                0.77734,                0.84474,                0.30237,                 1.3321,              0.0006833,              0.0006833,              0.0006833
